"Fnum","Time","Source","Destination","Protocol","Length","Info"
"6542","6.081903","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=4496, ID=00a0)"
"6543","6.081913","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=4512, ID=00a0)"
"6544","6.081924","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=4528, ID=00a0)"
"6545","6.081934","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=4544, ID=00a0)"
"6546","6.081943","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=4560, ID=00a0)"
"6547","6.081953","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=4576, ID=00a0)"
"6548","6.081962","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=4592, ID=00a0)"
"6549","6.081971","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=4608, ID=00a0)"
"6550","6.081981","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=4624, ID=00a0)"
"6551","6.081990","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=4640, ID=00a0)"
"6552","6.082000","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=4656, ID=00a0)"
"6553","6.082010","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=4672, ID=00a0)"
"6554","6.082020","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=4688, ID=00a0)"
"6555","6.082029","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=4704, ID=00a0)"
"6556","6.082044","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=4720, ID=00a0)"
